Profile,Name,License,Price,Profession,Phone,Contact,Location
,JBMP Architecture and Interior Design,,,Architects & Building Designers,(203) 531-1588,Cormac Byrne,"245 Mill Street, Greenwich, Connecticut, 06830, United States"
Premier Architect and Design Firm,"John R. Schroeder, AIA",ARI.0008509,,Architects & Building Designers,(860) 410-4320,John Schroeder,"69-2 Main Street, Chester, Connecticut, 06412, United States"
Fairfield County's Award Winning Architectural Firm | Best of Houzz,Halper Architects LLC,,,Architects & Building Designers,(203) 883-5081,Jon Halper,"225 Mill Street, Greenwich, Connecticut, 06830, United States"
,William Leavy Architecture PLLC,,"$2,000 - 5,000,000",Architects & Building Designers,(917) 838-3428,William Leavy,"194 Millard Street, Fairfield, Connecticut, 06824, United States"
Fairfield's Distinguished Architecture Firm3 x Best of Houzz,Colangelo Associates Architects,"CT ARI 8647, NY  Lic#12905",$100000 - 5000000Fees based on project scope,Architects & Building Designers,(203) 580-6357,Vincent Colangelo,"66 Broad street, Stamford, Connecticut, 06901, United States"
Fairfield County Full-Service Architects,Cole Harris Associates LLC,,,Architects & Building Designers,(203) 666-4590,Paul Harris,", Westport, Connecticut, 06880, United States"
,Robert A. Cardello Architects,8533,,Architects & Building Designers,(203) 853-2524,Robert Cardello AIA,"97 Washington Street, Norwalk, Connecticut, 06854, United States"
,Amanda Martocchio Architecture + Design,,,Architects & Building Designers,(203) 966-5707,Amanda Martocchio,"189 Brushy Ridge Rd, New Canaan, Connecticut, 06840, United States"
"Fairfield County Architectural Firm | Best of Houzz 2016, 2015",Sean O'Kane AIA Architect P.C.,,,Architects & Building Designers,(203) 438-4208,Sean O'Kane,"412 Main St, Ridgefield, Connecticut, 06877, United States"
NY Luxury Architect & Interior Design Firm - Best of Houzz 2014-2016,Carol Kurth Architecture + Interiors,,"$750,000 - 2,000,000+We specialize in fully custom, high-end materials and designer finishes.
Contact us for project fee details.",Architects & Building Designers,(914) 934-4398,"Carol Kurth, FAIA ASID","644 Old Post Road, The Arcade Building, Bedford, New York, 10506, United States"
Fairfield County's Award Winning Architectural Firm | Best of Houzz,Scott Springer Architect LLC,"CT 0011835, NY 025953",$10000 - 2000000,Architects & Building Designers,(203) 479-9290,Scott Springer,"171 Bayberry Lane, Westport, Connecticut, 06880, United States"
,Kevin Quinlan Architecture LLC,,,Architects & Building Designers,(203) 210-5050,Kevin Quinlan,"237 Thunder Lake Road, Wilton, Connecticut, 06897, United States"
Fairfield & Westchester Counties Architects & Designers,"Brooks and Falotico Associates, Inc.",,,Architects & Building Designers,(203) 816-6058,Vincent Falotico,"199 Elm Street, New Canaan, Connecticut, 06840, United States"
